Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
El Palmeral,10/24/2022,08:00 PM,10/24/2022,09:06 PM,False,"Teatro
42k
  En Al-Andalus, durante el período de guerras civiles del siglo XI que culminó en los distintos reinos taifas, un funcionario de una pequeña corte, el historiador y poeta Abu Hâssan, se enamora de un soldado, llamado Tahir, y como consecuencia de esta pasión ambos son degollados públicamente en un palmeral. Les denuncia el discípulo de Abû Hassan, Khalid, quién, dividido entre el sufismo que procesa su maestro y los fundamentalismos religiosos que se están instalando en la península por el advenimiento de la dinastía almorávide, proveniente del norte de África, no puede soportar la visión de un hombre, cuya mera existencia le pone un espejo que refleja la decadencia de una nueva visión del mundo, de la cual él forma parte. Khalid es el hermano de la esposa de Tahir, Aisha, y no puede soportar que su maestro le coloque en esta encrucijada de lealtades. Sin embargo, el castigo del taifa es especialmente cruel: Abû Hassan, al ser funcionario del taifa, debe recibir un castigo ejemplar, ver cómo matan a su amante, antes de morir él. La pieza discurre en los pocos minutos entre estas dos ejecuciones. Un calidoscópico “rashomon” de siete voces contarán esta historia con el fin de reconciliarse con el dolor que ha provocado, de comprender y de poner luz. Los vivos hablaran entre los muertos, y de este modo escucharemos la visión de Abû Hassan, de su mujer, Leila, del verdugo Abdelhadi, de Khalid, el discípulo, que termina huyendo hacia el nuevo mundo -posiblemente ya conocido antes de Colón-, de su hermana Aisha, del soldado Tahir, hasta asistir al cuadro completo, relatado por una alondra que sobrevolaba la escena en el momento de la ejecución.  ​ EL PALMERAL PULEP KUJ818 BREVE RESEÑA DEL GRUPO: La Maldita Vanidad es una compañía de teatro que actualmente se ha convertido en referente del teatro colombiano ante el mundo, presentándose al público nacional e internacional con un catálogo de obras diferentes y vanguardistas, que reflejan el teatro contemporáneo del país. La Casa de La Maldita Vanidad queda en la cra 19 #45a-17, en el tradicional barrio Palermo en Bogotá y es un espacio con programación permanente tanto de los procesos artísticos propios como de agrupaciones y artistas invitados. También allí encontrarán su Café Bar de estilo bohemio y acogedor. Actualmente La Fundación La Maldita Vanidad Teatro tiene once años de vida, veintiún producciones teatrales de su autoría y más de cincuenta festivales alrededor del mundo. La Misión de esta fundación cultural es ser emblema de Colombia ante el mundo, reconociéndose por su excelente calidad artística, originalidad, diversidad de géneros y constante transformación. ​ BREVE RESEÑA DEL DIRECTOR: Jorge Hugo Marín, nació el 17 de enero de 1981 en Medellín- Colombia. Es maestro en Arte Dramático De la Universidad de Antioquia. Es actor, director, dramaturgo y docente.   En el año 2009 cofundó La Maldita Vanidad compañía teatral, creando de su autoría la trilogía Sobre algunos asuntos de familia publicada en el año 2012 por la universidad Distrital de Bogotá. Morir de Amor su cuarta obra que en su estreno inaugura una sede permanente para la compañía llamada La casa de la Maldita Vanidad y que a la fecha es un espacio con programación permanente y es un espacio de entrenamiento, realizando talleres permanentes de creación escenica.   En el año 2013 fue ganador de la Beca de Creación del IDARTES a directores con trayectoria con su nueva obra Matando el Tiempo que a su vez es coproducción del XIV festival iberoamericano de teatro de Bogotá. En el año 2014 estrena Paisaje fracturado para la Maldita Vanidad y el musical Mentiras para la fundación teatro Nacional.   En el año 2015 Escribe y dirige para el teatro Colón de Bogotá la obra Hoy envejecí diez años. En el año 2016 estrena para la inauguración de la sala 2 de la Maldita vanidad la obra Kassandra y para T de teatro la obra Villanos. En el año 2019 en coproducción con el teatro Mayor estrena el díptico Dramas Neo costumbristas de carácter fatal y en el mismo año dirige la Noche sin Tiempo en una coproducción Colombo Catalana. Sus obras han sido invitadas a más de 50 festivales internacionales entre América y Europa. ​ Es docente de la universidad Javeriana y de la maestria en dirección escenica de la universidad de Valle y ha sido jurado de diferentes becas y premios a nivel nacional. Adquiere tus entradas en el botón de compra amarillo o en taquilla.  ​   ​ENTRADAS:  General: $42.000 ​ DESCUENTOS PAGANDO ÚNICAMENTE EN TAQUILLA:",La Maldita Vanidad,False
El Palmeral,10/25/2022,08:00 PM,10/25/2022,09:06 PM,False,"Teatro
42k
  En Al-Andalus, durante el período de guerras civiles del siglo XI que culminó en los distintos reinos taifas, un funcionario de una pequeña corte, el historiador y poeta Abu Hâssan, se enamora de un soldado, llamado Tahir, y como consecuencia de esta pasión ambos son degollados públicamente en un palmeral. Les denuncia el discípulo de Abû Hassan, Khalid, quién, dividido entre el sufismo que procesa su maestro y los fundamentalismos religiosos que se están instalando en la península por el advenimiento de la dinastía almorávide, proveniente del norte de África, no puede soportar la visión de un hombre, cuya mera existencia le pone un espejo que refleja la decadencia de una nueva visión del mundo, de la cual él forma parte. Khalid es el hermano de la esposa de Tahir, Aisha, y no puede soportar que su maestro le coloque en esta encrucijada de lealtades. Sin embargo, el castigo del taifa es especialmente cruel: Abû Hassan, al ser funcionario del taifa, debe recibir un castigo ejemplar, ver cómo matan a su amante, antes de morir él. La pieza discurre en los pocos minutos entre estas dos ejecuciones. Un calidoscópico “rashomon” de siete voces contarán esta historia con el fin de reconciliarse con el dolor que ha provocado, de comprender y de poner luz. Los vivos hablaran entre los muertos, y de este modo escucharemos la visión de Abû Hassan, de su mujer, Leila, del verdugo Abdelhadi, de Khalid, el discípulo, que termina huyendo hacia el nuevo mundo -posiblemente ya conocido antes de Colón-, de su hermana Aisha, del soldado Tahir, hasta asistir al cuadro completo, relatado por una alondra que sobrevolaba la escena en el momento de la ejecución.  ​ EL PALMERAL PULEP KUJ818 BREVE RESEÑA DEL GRUPO: La Maldita Vanidad es una compañía de teatro que actualmente se ha convertido en referente del teatro colombiano ante el mundo, presentándose al público nacional e internacional con un catálogo de obras diferentes y vanguardistas, que reflejan el teatro contemporáneo del país. La Casa de La Maldita Vanidad queda en la cra 19 #45a-17, en el tradicional barrio Palermo en Bogotá y es un espacio con programación permanente tanto de los procesos artísticos propios como de agrupaciones y artistas invitados. También allí encontrarán su Café Bar de estilo bohemio y acogedor. Actualmente La Fundación La Maldita Vanidad Teatro tiene once años de vida, veintiún producciones teatrales de su autoría y más de cincuenta festivales alrededor del mundo. La Misión de esta fundación cultural es ser emblema de Colombia ante el mundo, reconociéndose por su excelente calidad artística, originalidad, diversidad de géneros y constante transformación. ​ BREVE RESEÑA DEL DIRECTOR: Jorge Hugo Marín, nació el 17 de enero de 1981 en Medellín- Colombia. Es maestro en Arte Dramático De la Universidad de Antioquia. Es actor, director, dramaturgo y docente.   En el año 2009 cofundó La Maldita Vanidad compañía teatral, creando de su autoría la trilogía Sobre algunos asuntos de familia publicada en el año 2012 por la universidad Distrital de Bogotá. Morir de Amor su cuarta obra que en su estreno inaugura una sede permanente para la compañía llamada La casa de la Maldita Vanidad y que a la fecha es un espacio con programación permanente y es un espacio de entrenamiento, realizando talleres permanentes de creación escenica.   En el año 2013 fue ganador de la Beca de Creación del IDARTES a directores con trayectoria con su nueva obra Matando el Tiempo que a su vez es coproducción del XIV festival iberoamericano de teatro de Bogotá. En el año 2014 estrena Paisaje fracturado para la Maldita Vanidad y el musical Mentiras para la fundación teatro Nacional.   En el año 2015 Escribe y dirige para el teatro Colón de Bogotá la obra Hoy envejecí diez años. En el año 2016 estrena para la inauguración de la sala 2 de la Maldita vanidad la obra Kassandra y para T de teatro la obra Villanos. En el año 2019 en coproducción con el teatro Mayor estrena el díptico Dramas Neo costumbristas de carácter fatal y en el mismo año dirige la Noche sin Tiempo en una coproducción Colombo Catalana. Sus obras han sido invitadas a más de 50 festivales internacionales entre América y Europa. ​ Es docente de la universidad Javeriana y de la maestria en dirección escenica de la universidad de Valle y ha sido jurado de diferentes becas y premios a nivel nacional. Adquiere tus entradas en el botón de compra amarillo o en taquilla.  ​   ​ENTRADAS:  General: $42.000 ​ DESCUENTOS PAGANDO ÚNICAMENTE EN TAQUILLA:",La Maldita Vanidad,False
Tartufo,10/22/2022,08:00 PM,10/22/2022,09:30 PM,False,"Teatro
30k
nan",Teatro Jorge Eliecer Gaitán,False
Antón Retaco,10/23/2022,03:30 PM,10/23/2022,05:00 PM,False,"Teatro
30k
nan",Teatro Jorge Eliecer Gaitán,False
La Noche De Las Ratas,11/04/2022,07:00 PM,11/04/2022,08:30 PM,False,"Teatro
30k
nan",Teatro Jorge Eliecer Gaitán,False
Historia De Una Oveja,10/21/2022,07:30 PM,10/21/2022,09:00 PM,False,"Teatro
35k
nan",Teatro Colón,False
Historia De Una Oveja,10/22/2022,04:00 PM,10/22/2022,05:30 PM,False,"Teatro
35k
nan",Teatro Colón,False
Historia De Una Oveja,10/22/2022,07:30 PM,10/22/2022,09:00 PM,False,"Teatro
35k
nan",Teatro Colón,False
Historia De Una Oveja,10/23/2022,03:00 PM,10/23/2022,04:30 PM,False,"Teatro
35k
nan",Teatro Colón,False
Historia De Una Oveja,10/23/2022,06:30 PM,10/23/2022,08:00 PM,False,"Teatro
35k
nan",Teatro Colón,False
"La Oficina, ¡Hacemos Un Buen Trabajo!",10/21/2022,07:30 PM,10/21/2022,09:00 PM,False,"Teatro
35k
LA OFICINA, ¡hacemos un buen trabajo!, está basada en una noticia de la ciudad de Cali, Colombia, de comienzos de la década del 2000 y sobre la cual se construyó la ficción que nos adentra por el recorrido que hace uno de los personajes para descubrir quién asesinó a alguien a quién él ama. Está escrita en código de thriller policíaco, donde sus personajes no tienen nombre, sino que son llamados por el rol que desempeñan en la historia. Alguien está matando en la ciudad. Al parecer son una banda, al menos eso creen las chicas del bus, o bien podría ser el papá del bebé, que no quería tenerlo. Ella no debió asistir a esa cita, pero cuando la piel llama, las carnes no se aguantan. Él siempre quiso tener un hijo, ahora busca quién se los mató a lo dos. Cuidado que las apariencias no engañan tanto como las expectativas que tejemos sobre estos doce sospechosos. Una de ell@s sabe la verdad, o al menos eso va a decir para que no se sepa la suya. Al fin y al cabo, don Carlos no quiso darle permiso para ir al médico, y ella ya no está para estar corriendo camas y muebles de un lado para el otro.Dramaturgia y dirección: Rubén LópezAsistencia de dirección: John BeltránELENCOLiliana GarcíaCarolina GaleanoSofía HerreraGabriela ArévaloNatalie MejíaAngélica SánchezJuan David AnzuetaGustavo GiraldoLuis Fernando SantosLuis DuránRoberto CortésRubén López",Teatro Libre Centro,False
"La Oficina, ¡Hacemos Un Buen Trabajo!",10/22/2022,05:00 PM,10/22/2022,06:30 PM,False,"Teatro
35k
LA OFICINA, ¡hacemos un buen trabajo!, está basada en una noticia de la ciudad de Cali, Colombia, de comienzos de la década del 2000 y sobre la cual se construyó la ficción que nos adentra por el recorrido que hace uno de los personajes para descubrir quién asesinó a alguien a quién él ama. Está escrita en código de thriller policíaco, donde sus personajes no tienen nombre, sino que son llamados por el rol que desempeñan en la historia. Alguien está matando en la ciudad. Al parecer son una banda, al menos eso creen las chicas del bus, o bien podría ser el papá del bebé, que no quería tenerlo. Ella no debió asistir a esa cita, pero cuando la piel llama, las carnes no se aguantan. Él siempre quiso tener un hijo, ahora busca quién se los mató a lo dos. Cuidado que las apariencias no engañan tanto como las expectativas que tejemos sobre estos doce sospechosos. Una de ell@s sabe la verdad, o al menos eso va a decir para que no se sepa la suya. Al fin y al cabo, don Carlos no quiso darle permiso para ir al médico, y ella ya no está para estar corriendo camas y muebles de un lado para el otro.Dramaturgia y dirección: Rubén LópezAsistencia de dirección: John BeltránELENCOLiliana GarcíaCarolina GaleanoSofía HerreraGabriela ArévaloNatalie MejíaAngélica SánchezJuan David AnzuetaGustavo GiraldoLuis Fernando SantosLuis DuránRoberto CortésRubén López",Teatro Libre Centro,False
"La Oficina, ¡Hacemos Un Buen Trabajo!",10/22/2022,07:30 PM,10/22/2022,09:00 PM,False,"Teatro
35k
LA OFICINA, ¡hacemos un buen trabajo!, está basada en una noticia de la ciudad de Cali, Colombia, de comienzos de la década del 2000 y sobre la cual se construyó la ficción que nos adentra por el recorrido que hace uno de los personajes para descubrir quién asesinó a alguien a quién él ama. Está escrita en código de thriller policíaco, donde sus personajes no tienen nombre, sino que son llamados por el rol que desempeñan en la historia. Alguien está matando en la ciudad. Al parecer son una banda, al menos eso creen las chicas del bus, o bien podría ser el papá del bebé, que no quería tenerlo. Ella no debió asistir a esa cita, pero cuando la piel llama, las carnes no se aguantan. Él siempre quiso tener un hijo, ahora busca quién se los mató a lo dos. Cuidado que las apariencias no engañan tanto como las expectativas que tejemos sobre estos doce sospechosos. Una de ell@s sabe la verdad, o al menos eso va a decir para que no se sepa la suya. Al fin y al cabo, don Carlos no quiso darle permiso para ir al médico, y ella ya no está para estar corriendo camas y muebles de un lado para el otro.Dramaturgia y dirección: Rubén LópezAsistencia de dirección: John BeltránELENCOLiliana GarcíaCarolina GaleanoSofía HerreraGabriela ArévaloNatalie MejíaAngélica SánchezJuan David AnzuetaGustavo GiraldoLuis Fernando SantosLuis DuránRoberto CortésRubén López",Teatro Libre Centro,False
La Aventura De Los Pajaritos,10/23/2022,11:00 AM,10/23/2022,12:30 PM,False,"Teatro
0
Dos pájaros migratorios, llegan al lugar que cada año visitan, pero descubren, que todo lo que algún día conocieron, ya no existe, todo esta destruido.El cazador, el que causo este desastre, los persigue y trata de atraparlos. Los pajaritos emprenden una gran travesía en búsqueda del humedal, llena de viejos y nuevos amigos; un Oso de anteojos, un Runcho, una abeja, una medusa, una tortuga; que les ayudan a sobrevivir y dar una lección a este malvado cazador. Esta aventura está llena colores, magia, música y todas las maravillas de la naturaleza.Escrita por Alberto Barrero y Juan José DíazDirección: Robinson DíazMúsica: Carlos Posada y Luisa PosadaDirección de ARTE: MESS LIVE FREEPrecios: $50.000 platea y $40.000 balcón",Teatro Libre Chapinero,False
"La Oficina, ¡Hacemos Un Buen Trabajo!",10/23/2022,03:00 PM,10/23/2022,04:30 PM,False,"Teatro
35k
LA OFICINA, ¡hacemos un buen trabajo!, está basada en una noticia de la ciudad de Cali, Colombia, de comienzos de la década del 2000 y sobre la cual se construyó la ficción que nos adentra por el recorrido que hace uno de los personajes para descubrir quién asesinó a alguien a quién él ama. Está escrita en código de thriller policíaco, donde sus personajes no tienen nombre, sino que son llamados por el rol que desempeñan en la historia. Alguien está matando en la ciudad. Al parecer son una banda, al menos eso creen las chicas del bus, o bien podría ser el papá del bebé, que no quería tenerlo. Ella no debió asistir a esa cita, pero cuando la piel llama, las carnes no se aguantan. Él siempre quiso tener un hijo, ahora busca quién se los mató a lo dos. Cuidado que las apariencias no engañan tanto como las expectativas que tejemos sobre estos doce sospechosos. Una de ell@s sabe la verdad, o al menos eso va a decir para que no se sepa la suya. Al fin y al cabo, don Carlos no quiso darle permiso para ir al médico, y ella ya no está para estar corriendo camas y muebles de un lado para el otro.Dramaturgia y dirección: Rubén LópezAsistencia de dirección: John BeltránELENCOLiliana GarcíaCarolina GaleanoSofía HerreraGabriela ArévaloNatalie MejíaAngélica SánchezJuan David AnzuetaGustavo GiraldoLuis Fernando SantosLuis DuránRoberto CortésRubén López",Teatro Libre Centro,False
Serrar La Horca O El Cadalso,10/27/2022,07:30 PM,10/27/2022,09:00 PM,False,"Teatro
35k
Barnat tiene el don de la sanación. Lo que podría ser  un grandioso don se ve empañado porque, al ejercerlo, se afecta su salud física y mental. Su mejor amigo, Aresh, apoya la decisión de abandonar la práctica de la sanación, pero cuando la madre de Aresh enferma y Barnat se niega a curarla, se rompe el vínculo que los une. Muchos años después, cuando a Barnat le descubren una enfermedad terminal, revive su deseo de cobrar venganza.Al reencontrarse, una presencia más acecha y los personajes se enredan entre venganzas, recuerdos y manipulación.Dramaturgia: LoperaSánchezDirección: Martha LealELENCOMónica GiraldoEsmeralda AcostaJuan Pablo AcostaDiseño escenográfico / iluminación: Pablo Restrepo VejaranoDiseño sonoro: Fernando Sierra (Don Elvis)Producción general: La Buena Estrella SAS",Teatro Libre Centro,False
Serrar La Horca O El Cadalso,10/28/2022,07:30 PM,10/28/2022,09:00 PM,False,"Teatro
35k
Barnat tiene el don de la sanación. Lo que podría ser  un grandioso don se ve empañado porque, al ejercerlo, se afecta su salud física y mental. Su mejor amigo, Aresh, apoya la decisión de abandonar la práctica de la sanación, pero cuando la madre de Aresh enferma y Barnat se niega a curarla, se rompe el vínculo que los une. Muchos años después, cuando a Barnat le descubren una enfermedad terminal, revive su deseo de cobrar venganza.Al reencontrarse, una presencia más acecha y los personajes se enredan entre venganzas, recuerdos y manipulación.Dramaturgia: LoperaSánchezDirección: Martha LealELENCOMónica GiraldoEsmeralda AcostaJuan Pablo AcostaDiseño escenográfico / iluminación: Pablo Restrepo VejaranoDiseño sonoro: Fernando Sierra (Don Elvis)Producción general: La Buena Estrella SAS",Teatro Libre Centro,False
Serrar La Horca O El Cadalso,10/29/2022,07:30 PM,10/29/2022,09:00 PM,False,"Teatro
35k
Barnat tiene el don de la sanación. Lo que podría ser  un grandioso don se ve empañado porque, al ejercerlo, se afecta su salud física y mental. Su mejor amigo, Aresh, apoya la decisión de abandonar la práctica de la sanación, pero cuando la madre de Aresh enferma y Barnat se niega a curarla, se rompe el vínculo que los une. Muchos años después, cuando a Barnat le descubren una enfermedad terminal, revive su deseo de cobrar venganza.Al reencontrarse, una presencia más acecha y los personajes se enredan entre venganzas, recuerdos y manipulación.Dramaturgia: LoperaSánchezDirección: Martha LealELENCOMónica GiraldoEsmeralda AcostaJuan Pablo AcostaDiseño escenográfico / iluminación: Pablo Restrepo VejaranoDiseño sonoro: Fernando Sierra (Don Elvis)Producción general: La Buena Estrella SAS",Teatro Libre Centro,False
La Aventura De Los Pajaritos,10/30/2022,11:00 AM,10/30/2022,12:30 PM,False,"Teatro
0
Dos pájaros migratorios, llegan al lugar que cada año visitan, pero descubren, que todo lo que algún día conocieron, ya no existe, todo esta destruido.El cazador, el que causo este desastre, los persigue y trata de atraparlos. Los pajaritos emprenden una gran travesía en búsqueda del humedal, llena de viejos y nuevos amigos; un Oso de anteojos, un Runcho, una abeja, una medusa, una tortuga; que les ayudan a sobrevivir y dar una lección a este malvado cazador. Esta aventura está llena colores, magia, música y todas las maravillas de la naturaleza.Escrita por Alberto Barrero y Juan José DíazDirección: Robinson DíazMúsica: Carlos Posada y Luisa PosadaDirección de ARTE: MESS LIVE FREEPrecios: $50.000 platea y $40.000 balcón",Teatro Libre Chapinero,False
Serrar La Horca O El Cadalso,10/30/2022,03:00 PM,10/30/2022,04:30 PM,False,"Teatro
35k
Barnat tiene el don de la sanación. Lo que podría ser  un grandioso don se ve empañado porque, al ejercerlo, se afecta su salud física y mental. Su mejor amigo, Aresh, apoya la decisión de abandonar la práctica de la sanación, pero cuando la madre de Aresh enferma y Barnat se niega a curarla, se rompe el vínculo que los une. Muchos años después, cuando a Barnat le descubren una enfermedad terminal, revive su deseo de cobrar venganza.Al reencontrarse, una presencia más acecha y los personajes se enredan entre venganzas, recuerdos y manipulación.Dramaturgia: LoperaSánchezDirección: Martha LealELENCOMónica GiraldoEsmeralda AcostaJuan Pablo AcostaDiseño escenográfico / iluminación: Pablo Restrepo VejaranoDiseño sonoro: Fernando Sierra (Don Elvis)Producción general: La Buena Estrella SAS",Teatro Libre Centro,False
