Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
¿Qué fué de Evangelista Tamayo?,10/19/2022,04:00 PM,10/19/2022,05:30 PM,False,"Festival
0
¿Qué fué de Evangelista Tamayo?      Grupo: La Clownpañía      Director: Leandro Alberto Vargas Gallego        Teatro Tchyminigagua - Carrera 80K No. 72 - 45 Sur Bosa Laureles  Bosa     Todo público
https://bogotateatralycircense.gov.co/festival-teatro-y-circo/programacion/que-fue-de-evangelista-tamayo",Teatro Tchyminigagua,False
La triste historia de la cándida Eréndira y su abuela desalmada,10/19/2022,07:00 PM,10/19/2022,08:30 PM,False,"Festival
0
La triste historia de la cándida Eréndira y su abuela desalmada      Grupo: Macondo Teatro      Director: César Morales        Teatro Libre de Chapinero Calle 62 No. 9A - 65  Chapinero     Todo público
https://bogotateatralycircense.gov.co/festival-teatro-y-circo/programacion/la-triste-historia-de-la-candida-erendira-y-su-abuela",Teatro Libre Chapinero,False
La Noche,10/19/2022,07:00 PM,10/19/2022,08:30 PM,False,"Festival
0
La Noche       Grupo: Teatro Occidente       Director: Carlos Eduardo Sepúlveda         Casa del Teatro Nacional Carrera 20 No. 37 - 54  Teusaquillo     Jóvenes
https://bogotateatralycircense.gov.co/festival-teatro-y-circo/programacion/la-noche",La Casa del Teatro Nacional,False
Ventanas de cuarentena,10/19/2022,07:00 PM,10/19/2022,08:30 PM,False,"Festival
0
Ventanas de cuarentena      Grupo: Club de Teatro Experimental Café La Mama       Director: Edgar Manuel Martínez        Teatro Experimental Café La Mama Calle 63 No. 9-60  Chapinero     Jóvenes
https://bogotateatralycircense.gov.co/festival-teatro-y-circo/programacion/ventanas-de-cuarentena",Teatro Experimental Café La Mama,False
"Yo, la otra y lo otro",10/20/2022,05:00 PM,10/20/2022,06:30 PM,False,"Festival
0
Yo, la otra y lo otro      Grupo: Jerboa      Director: Junior Gustavo Bautísta        Tercer Acto Calle 3 No. 1a - 72  Santa Fe     Todo público
https://bogotateatralycircense.gov.co/festival-teatro-y-circo/programacion/yo-la-otra-y-lo-otro",Tercer Acto,False
"Talento acuático, Reverso y  Oh Onírico",10/20/2022,07:00 PM,10/20/2022,08:30 PM,False,"Festival
0
Talento acuático, Reverso y  Oh Onírico      Grupo: Juan David Villa Llano - Balin / Felipe Cortes Barrera / Valentina Linares      Director:         Teatro Taller de Colombia Calle 10 No. 0 - 55  La Candelaria     Jóvenes
https://bogotateatralycircense.gov.co/festival-teatro-y-circo/programacion/talento-acuatico-reverso-y-oh-onirico",Teatro Taller de Colombia,False
Amor en el campo de batalla,10/20/2022,07:30 PM,10/20/2022,09:00 PM,False,"Festival
0
Amor en el campo de batalla      Grupo: Círculo Colombiano de Artistas      Director: Javier Sáenz        Teatro Bernardo Romero Lozano Calle 46 No. 28 - 30  Teusaquillo     Jóvenes
https://bogotateatralycircense.gov.co/festival-teatro-y-circo/programacion/amor-en-el-campo-de-batalla",Teatro Bernardo Romero Lozano,False
Teatro digital: ¡EVOHÉ!,10/21/2022,07:00 PM,10/21/2022,08:30 PM,False,"Festival
0
Teatro digital: ¡EVOHÉ!      Grupo: Corporación Changua      Director: Marcela Mora        Cinemateca de Bogotá - Carrera 3 No. 19 - 10 Sala Capital   Santa Fe     Jóvenes
https://bogotateatralycircense.gov.co/festival-teatro-y-circo/programacion/teatro-digital-evohe",Cinemateca de Bogotá,False
El retorno del Diablo,10/21/2022,07:00 PM,10/21/2022,08:30 PM,False,"Festival
0
El retorno del Diablo      Grupo: Asociación cultural Ensamblaje Teatro Comunidad      Director: Misael Torres        Teatro Estudio La Gata - Cra 20 N. 70 - 19  Barrios Unidos     Jóvenes
https://bogotateatralycircense.gov.co/festival-teatro-y-circo/programacion/el-retorno-del-diablo",Teatro Estudio La Gata,False
Hermanos,10/21/2022,07:00 PM,10/21/2022,08:30 PM,False,"Festival
0
Hermanos      Grupo: Compañía Nacional de las Artes – La Navaja de Ockham      Director: Katalina Moskowictz         Teatro Casa Teatrova  Calle 24 No. 4  - 16  Santa Fe     Jóvenes
https://bogotateatralycircense.gov.co/festival-teatro-y-circo/programacion/hermanos",Teatro Casa Teatrova,False
