tipo,titulo,fecha,url,duracion,preciomin,preciomax,lugar,desc
Familia,"Estar Man' - Teatro de Juguete, Colombia",2023-10-01 11:00,https://www.teatromayor.org/es/evento/familia/estar-man-teatro-de-juguete-colombia-13889?function=2900,0.8333333333333334,20000.0,30000.0,Teatro Estudio,"Teatro de Juguete, una compañía de títeres ganadora en los últimos años de varias becas y reconocimientos, presenta en esta obra el encuentro entre un pequeño extraterrestre que habita solitario en la Luna y un astronauta terrestre que se queda varado en el satélite. Un espectáculo de teatro de objetos, títeres y actuación sobre la soledad, el miedo a lo desconocido y la curiosidad."
Música,Festival Interviolas,2023-10-01 17:00,https://www.teatromayor.org/es/evento/musica/festival-interviolas-13891?function=2901,1.25,80000.0,80000.0,Teatro Mayor Julio Mario Santo Domingo,"En 2010 se creó el Festival Interviolas Bogotá con el fin de acoger a toda la comunidad de violistas colombianos y latinoamericanos. Además de las actividades pedagógicas y de formación, en cada edición se conforma la Orquesta de Violas del Festival Interviolas de Bogotá, que cuenta con más de 100 violistas en escena, provenientes de diferentes instituciones de Colombia y América Latina."
Circo,"Circa, Australia – ‘Humans 2.0’",2023-10-06 20:00,https://www.teatromayor.org/es/evento/circo/circa-australia-humans-20-13895?function=2902,1.1666666666666667,140000.0,145000.0,Teatro Mayor Julio Mario Santo Domingo,"Circa Contemporary Circus es una de las compañías escénicas más reconocidas del mundo.Con sus espectáculos que combinan el movimiento, la danza, el teatro y el circo, han recorrido el mundo desde 2004 y en esta ocasión presentan su obra ‘Humans 2.0’, un espectáculo de acrobacia, sonido y luces de alto nivel."
Circo,"Circa, Australia – ‘Humans 2.0’",2023-10-07 17:00,https://www.teatromayor.org/es/evento/circo/circa-australia-humans-20-13895?function=2903,1.1666666666666667,140000.0,145000.0,Teatro Mayor Julio Mario Santo Domingo,"Circa Contemporary Circus es una de las compañías escénicas más reconocidas del mundo.Con sus espectáculos que combinan el movimiento, la danza, el teatro y el circo, han recorrido el mundo desde 2004 y en esta ocasión presentan su obra ‘Humans 2.0’, un espectáculo de acrobacia, sonido y luces de alto nivel."
Música,Shock presenta: Nicolás y los Fumadores,2023-10-07 20:00,https://www.teatromayor.org/es/evento/musica/shock-presenta-nicolas-y-los-fumadores-13896?function=2905,1.25,30000.0,30000.0,Teatro Estudio,"Nicolás y los Fumadores nació en 2016 y desde entonces ha cultivado un estilo original y tragicómico que combina influencias que van desde el grunge, el rock argentino y el post-punk a la música colombiana de Edson Velandia y Los Elefantes, con versos de Neruda y Pavese. Una agrupación particular que ha cultivado una fanaticada en el círculo de la música underground de Bogotá."
Música,Orquestas Juveniles de la Orquesta Filarmónica de Bogotá,2023-10-08 11:00,https://www.teatromayor.org/es/evento/musica/orquestas-juveniles-de-la-orquesta-filarmonica-de-bogota-13897?function=2906,1.25,20000.0,30000.0,Teatro Estudio,"La Orquesta Filarmónica de Bogotá, con su propósito de democratizar la música sinfónica, se ha propuesto, junto con su sistema de orquestas, llevar no solo por la capital, sino por todo el país, los distintos ritmos y géneros para el disfrute y aprendizaje del público. Su sistema de orquestas está conformado por varias agrupaciones, entre ellas las juveniles, y un gran proyecto de formación para niños, niñas y jóvenes."
Circo,"Circa, Australia – ‘Humans 2.0’",2023-10-08 17:00,https://www.teatromayor.org/es/evento/circo/circa-australia-humans-20-13895?function=2904,1.1666666666666667,140000.0,145000.0,Teatro Mayor Julio Mario Santo Domingo,"Circa Contemporary Circus es una de las compañías escénicas más reconocidas del mundo.Con sus espectáculos que combinan el movimiento, la danza, el teatro y el circo, han recorrido el mundo desde 2004 y en esta ocasión presentan su obra ‘Humans 2.0’, un espectáculo de acrobacia, sonido y luces de alto nivel."
Música,Bogotá International Film Festival,2023-10-11 20:00,https://www.teatromayor.org/es/evento/musica/bogota-international-film-festival-13898?function=2907,1.25,20000.0,20000.0,Teatro Estudio,"El cine clásico y la música se unen cada año en la franja de Cine Conciertos del BIFF. Se trata de la proyección de alguna película clásica de cine silente y la interpretación en vivo, por parte de una de las agrupaciones juveniles de la Orquesta Filarmónica de Bogotá, de música original compuesta especialmente para la ocasión por integrantes de la Asociación Colombiana de Compositores de Música para Cine MUCINE."
Música,Festival Gala Hip Hop,2023-10-15 17:00,https://www.teatromayor.org/es/evento/musica/festival-gala-hip-hop-13899?function=2908,1.25,,,Teatro Mayor Julio Mario Santo Domingo,"Desde 2012 el Teatro Mayor Julio Mario Santo Domingo es el escenario de la Gala de Hip Hop, donde los mejores grupos de rap, break dance, grafiti y dj de las localidades de Suba y Usaquen exponen su música y sus expresiones culturales ante el público. Este evento, cuenta con el apoyo de la Secretaría de Cultura, Recreación y Deporte de Bogotá y las alcaldías locales de Suba y Usaquén."
Música,"Laura Cubides, flauta, Colombia - Círculo Colombiano de Música Contemporánea",2023-10-18 20:00,https://www.teatromayor.org/es/evento/musica/laura-cubides-flauta-colombia-circulo-colombiano-de-musica-contemporanea-13901?function=2910,1.25,35000.0,45000.0,Teatro Estudio,"Como parte del ciclo de conciertos del Círculo Colombiano de Música Contemporánea, la flautista Laura Cubides ofrece un recital de música contemporánea para diferentes conformaciones de música de cámara que se generan en torno a ese instrumento."
